data extract finished>>>begin EM algorithm>>>2018-04-30 09:28:38,819 INFO    : data extract finished>>>begin EM algorithm>>>
2018-05-06 14:21:47,571 INFO    : =================================================================================================
2018-05-06 14:21:47,571 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,572 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
2018-05-06 14:21:47,573 INFO    : =================================================================================================
